Inventory ID,DateTime,Address,Column 4
1,2026-08-22,3,
2,2026-08-22,3,
3,2026-08-22,3,
4,2026-08-22,1,
5,2026-08-22,3,
6,2026-08-22,1,
7,2026-08-22,3,
8,2026-08-22,1,
9,2026-08-22,3,
10,2026-08-22,1,
11,2026-08-22,3,
12,2026-08-22,1,
13,2026-08-22,3,
14,2026-08-22,1,
15,2026-08-22,3,
16,2026-08-22,1,
17,2026-08-22,3,
18,2026-08-22,1,
19,2026-08-22,3,
20,2026-08-22,1,
21,2026-08-22,3,
22,2026-08-22,1,
23,2026-08-22,3,
24,2026-08-22,1,
25,2026-08-22,2,
26,2026-08-22,2,
27,2026-08-22,3,
28,2026-08-22,2,
29,2026-08-22,3,
30,2026-08-22,2,
31,2026-08-22,3,
32,2026-08-22,2,
33,2026-08-22,3,
34,2026-08-22,2,
35,2026-08-22,3,
36,2026-08-22,2,
37,2026-08-22,3,
38,2026-08-22,2,
39,2026-08-22,3,
40,2026-08-22,2,
41,2026-08-22,3,
42,2026-08-22,2,
,,,
44,2026-08-22,3,
45,2026-08-22,2,
46,2026-08-22,1,
47,2026-08-22,1,
48,2026-08-22,1,
49,2026-08-22,1,
50,2026-08-22,1,
51,2026-08-22,1,
52,2026-08-22,1,
53,2026-08-22,3,
,,,
,,,
56,2026-08-22,3,
57,2026-08-22,3,
58,2026-08-22,1,
59,2026-08-22,3,
60,2026-08-22,2,
61,2026-08-23,2,
62,2026-08-23,2,
63,2026-08-23,2,
64,2026-08-23,2,
65,2026-08-23,1,
66,2026-08-23,2,
67,2026-08-23,3,
68,2026-08-23,3,
69,2026-08-23,3,
70,2026-08-23,1,
71,2026-08-23,3,
72,2026-08-23,1,
73,2026-08-23,3,
74,2026-08-23,1,
75,2026-08-23,3,
76,2026-08-23,1,
77,2026-08-23,3,
78,2026-08-23,1,
79,2026-08-23,3,
80,2026-08-23,2,
81,2026-08-23,3,
82,2026-08-23,2,
83,2026-08-23,3,
84,2026-08-23,1,
85,2026-08-23,3,
86,2026-08-23,2,
87,2026-08-23,3,
88,2026-08-23,1,
89,2026-08-23,1,
90,2026-08-23,1,
91,2026-08-23,1,
92,2026-08-23,1,
93,2026-08-23,2,
94,2026-08-23,2,
95,2026-08-23,1,
96,2026-08-24,3,
97,2026-08-24,3,
98,2026-08-25,1,
99,2026-08-25,1,
100,2026-08-25,1,
101,2026-08-25,2,
102,2026-08-25,2,
103,2026-08-25,1,
104,2026-08-25,1,
105,2026-08-25,1,
106,2026-08-25,1,
107,2026-08-25,1,
108,2026-08-26,1,
109,2026-08-26,1,
110,2026-08-26,1,
111,2026-08-26,1,
112,2026-08-26,3,
113,2026-08-26,3,
114,2026-08-26,3,
115,2026-08-26,3,
116,2026-08-26,3,
117,2026-08-26,3,
118,2026-08-26,3,
119,2026-08-26,3,
120,2026-08-26,1,
121,2026-08-26,3,
122,2026-08-26,1,
123,2026-08-26,3,
124,2026-08-26,1,
125,2026-08-26,3,
126,2026-08-26,1,
127,2026-08-26,1,
128,2026-08-26,1,
129,2026-08-26,3,
130,2026-08-27,3,
131,2026-08-27,3,
132,2026-08-27,3,
133,2026-08-27,3,
134,2026-08-27,1,
135,2026-08-27,1,
136,2026-08-27,1,
137,2026-08-27,1,
138,2026-08-27,1,
139,2026-08-27,1,
140,2026-08-27,1,
141,2026-08-27,1,
142,2026-08-27,1,
143,2026-08-27,3,
144,2026-08-27,1,
145,2026-08-27,3,
146,2026-08-27,1,
147,2026-08-28,3,
148,2026-08-28,3,
149,2026-08-28,2,
150,2026-08-28,3,
151,2026-08-28,2,
152,2026-08-28,2,
153,2026-08-28,1,
154,2026-08-28,2,
155,2026-08-28,1,
156,2026-08-28,3,
157,2026-08-28,2,
158,2026-08-28,3,
159,2026-08-28,2,
160,2026-08-28,3,
161,2026-08-28,2,
162,2026-08-28,2,
163,2026-08-28,2,
164,2026-08-28,1,
165,2026-08-28,1,
166,2026-08-28,2,
167,2026-08-28,1,
168,2026-08-28,1,
169,2026-08-28,1,
170,2026-08-28,1,
171,2026-08-28,1,
172,2026-08-28,1,
173,2026-08-28,2,
174,2026-08-28,2,
175,2026-08-28,2,
176,2026-08-29,1,
177,2026-08-29,1,
178,2026-08-29,1,
179,2026-08-29,1,
180,2026-08-29,1,
181,2026-08-29,1,
182,2026-08-29,1,
183,2026-08-29,1,
184,2026-08-29,2,
185,2026-08-29,1,
186,2026-08-29,1,
187,2026-08-29,1,
188,2026-08-29,1,
189,2026-08-29,1,
190,2026-08-29,1,
191,2026-08-29,1,
192,2026-08-29,1,
193,2026-08-29,1,
194,2026-08-29,1,
195,2026-08-29,2,
196,2026-08-29,2,
197,2026-08-29,3,
198,2026-08-29,3,
199,2026-08-29,3,
200,2026-08-29,3,
201,2026-08-30,1,
202,2026-08-30,2,
203,2026-08-31,3,
204,2026-08-31,1,
205,2026-08-31,1,
206,2026-08-31,1,
207,2026-08-31,1,
208,2026-08-31,1,
209,2026-08-31,1,
210,2026-08-31,1,
211,2026-08-31,1,
212,2026-09-01,3,
213,2026-09-01,3,
214,2026-09-01,1,
215,2026-09-01,1,
216,2026-09-01,1,
217,2026-09-01,1,
218,2026-09-01,3,
219,2026-09-01,1,
220,2026-09-01,2,
221,2026-09-01,1,
222,2026-09-01,3,
223,2026-09-01,2,
224,2026-09-01,3,
225,2026-09-01,2,
226,2026-09-01,2,
227,2026-09-01,2,
229,2026-09-01,1,
230,2026-09-01,1,
231,2026-09-01,3,
232,2026-09-01,3,
233,2026-09-01,1,
234,2026-09-01,1,
235,2026-09-01,1,
236,2026-09-01,1,
